Data e Ora;Cumulata Sensore 1295 (Arcevia);Cumulata Sensore 2637 (Bettolelle);Cumulata Sensore 2858 (Barbara);Cumulata Sensore 2964 (Corinaldo);Umidita' Sensore 3452 (Montemurello);Livello Idrometrico Sensore 1008 [m] (Serra dei Conti);Livello Idrometrico Sensore 1112 [m] (Bettolelle);Livello Idrometrico Sensore 1283 [m] (Corinaldo/Nevola);Livello Idrometrico Sensore 3072 [m] (Pianello di Ostra);Livello Idrometrico Sensore 3405 [m] (Ponte Garibaldi);Livello Idrometrico Sensore 3145 [m] (Passo Ripe)
01/01/2024 00:30;0,4;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,45;-0,8
01/01/2024 01:00;0,2;0,2;0,2;0;  37.00;0,5;0,74;1,17;0,68;0,51;-0,79
01/01/2024 01:30;0,2;0;0;0;  37.00;0,51;0,74;1,17;0,69;0,48;-0,79
01/01/2024 02:00;0;0;0;0;  37.00;0,51;0,74;1,17;0,68;0,52;-0,79
01/01/2024 02:30;0;0;0;0;  37.00;0,51;0,75;1,17;0,69;0,55;-0,79
01/01/2024 03:00;0;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,54;-0,8
01/01/2024 03:30;0;0;0;0;  37.00;0,5;0,74;1,18;0,69;0,55;-0,79
01/01/2024 04:00;0;0;0;0;  37.00;0,5;0,74;1,17;0,7;0,56;-0,81
01/01/2024 04:30;0;0;0;0;  37.00;0,5;0,74;1,17;0,7;0,53;-0,8
01/01/2024 05:00;0;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,56;-0,8
01/01/2024 05:30;0;0;0;0;  37.00;0,49;0,74;1,18;0,69;0,56;-0,83
01/01/2024 06:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,69;0,47;-0,85
01/01/2024 06:30;0;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,45;-0,82
01/01/2024 07:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,7;0,49;-0,81
01/01/2024 07:30;0;0;0;0;  37.00;0,49;0,74;1,18;0,69;0,43;-0,81
01/01/2024 08:00;0;0;0;0;  37.00;0,5;0,73;1,17;0,7;0,44;-0,77
01/01/2024 08:30;0;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,39;-0,81
01/01/2024 09:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,69;0,42;-0,82
01/01/2024 09:30;0;0;0;0;  37.00;0,5;0,74;1,18;0,7;0,4;-0,79
01/01/2024 10:00;0;0;0;0;  37.00;0,5;0,74;1,17;0,68;0,35;-0,81
01/01/2024 10:30;0;0;0;0;  37.00;0,5;0,74;1,17;0,69;0,34;-0,81
01/01/2024 11:00;0;0;0;0;  36.00;0,5;0,74;1,17;0,69;0,32;-0,82
01/01/2024 11:30;0;0;0;0;  37.00;0,5;0,74;1,17;0,7;0,39;-0,84
01/01/2024 12:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,69;0,33;-0,86
01/01/2024 12:30;0;0;0;0;  37.00;0,51;0,74;1,18;0,7;0,31;-0,84
01/01/2024 13:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,7;0,31;-0,84
01/01/2024 13:30;0;0;0;0;  36.00;0,5;0,74;1,18;0,71;0,3;-0,83
01/01/2024 14:00;0;0;0;0;  37.00;0,5;0,74;1,18;0,7;0,22;-0,84
